State,FIPS,2020/1/19,2020/1/26,2020/2/2,2020/2/9,2020/2/16,2020/2/23,2020/3/1,2020/3/8,2020/3/15,2020/3/22,2020/3/29,2020/4/5,2020/4/12,2020/4/19,2020/4/26,2020/5/3,2020/5/10,2020/5/17,2020/5/24,2020/5/31,2020/6/7,2020/6/14,2020/6/21,2020/6/28,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29
AL,1,0,0,0,0,0,0,0,15,134,652,926,1619,1442,1486,1426,2020,2108,2500,3361,2666,5009,4319,5400,8133,9586,13379,12007,12111,9555,7072,7883,9346,6759,6252,6412,7387,7216,6517,7439,11694,9782,9905,12326,14867,14287,22597,25253,27071,23578,26010,29693,21555,18762,16145,15758,8645,6146,6824,6790,3926,7823,3108,2599,2150,3658,3903,2436,2454,9123,2124,1499,2187,1774,1359,1309,1377,3309,4874,9654,16476,21602,20696,31845,28268,31262
AZ,4,0,1,0,0,0,0,3,8,92,671,1250,1377,1340,1566,2079,2597,2709,2388,3207,6198,9211,15468,19996,24456,25368,21337,18790,16981,9118,6555,5244,3436,4232,2634,5448,3288,3584,4585,5493,6354,9181,11438,15669,22282,27441,36126,43688,45950,44810,46107,68197,59557,48456,38029,25739,16257,10837,9550,9416,7372,4149,3668,4535,5185,4074,5035,5496,4818,4189,3960,4081,2932,3309,3018,3398,3814,4121,5482,9597,11575,16181,18994,20365,22989,21596
AR,5,0,0,0,0,0,0,0,3,1,376,315,524,506,502,493,415,860,1183,1196,2031,2511,2814,4007,3757,4046,4608,5195,4839,5259,4223,4149,4101,4006,4698,5351,5389,5656,5743,6149,6813,6832,9003,10987,11164,11010,14559,14400,15964,13962,17560,20172,18377,12695,11459,11624,6684,2658,4032,5036,2247,1749,1571,1269,1077,1352,1238,1343,1441,1271,1368,1202,1054,1527,1616,1774,3304,4814,7061,11605,11988,16107,15193,15215,14302,13990
CA,6,0,3,3,5,2,3,81,243,1065,6121,7813,8636,9196,11803,11456,13388,12212,14082,17992,18380,20791,26776,39942,49501,61255,62559,66900,57986,46556,65529,41876,36288,32462,23055,24022,24661,23643,23561,21937,31776,29836,41867,57123,89094,101650,155689,225066,310549,281285,286034,295673,280061,172666,139187,98953,70858,46850,38743,31353,24740,20692,18785,18909,22999,18501,15085,14054,13141,11294,8978,12609,6355,7120,6848,10441,8213,13418,27308,44393,59486,96243,88507,108122,95514,96895
CO,8,0,0,0,0,0,0,8,95,371,1427,6838,2735,2904,3328,2798,2684,2342,2008,1348,1164,1239,1592,2245,2851,3801,3779,3501,2752,2385,2020,2130,2002,2238,2917,4106,4324,5019,7048,8937,11878,18183,30771,36595,37478,29755,33860,23041,17585,13479,16041,16776,12231,10264,9167,8416,7604,7346,7049,6791,7015,7003,8070,10056,11458,11142,11770,11086,8819,6848,5017,3766,2943,2277,2004,2227,2459,2950,3534,4730,6076,7707,8751,11257,12287,13409
CT,9,0,0,0,0,0,0,0,23,171,1331,3511,6019,5973,7036,4914,3764,3708,3366,2058,1772,1136,830,520,555,555,608,916,1015,518,599,637,1086,874,954,1187,1049,1710,1760,2790,3210,5151,6852,10348,12737,10947,14955,18801,16414,9979,17337,15788,17379,14425,12173,9313,7919,5731,6809,5375,5223,6077,8489,8716,7608,7495,5658,4452,3478,2251,1348,1015,552,465,326,457,360,493,714,1357,2288,3726,3752,4006,4828,4422
DE,10,0,0,0,0,0,0,0,6,39,169,379,873,1042,1065,1443,1234,1251,975,894,463,381,448,422,858,714,650,737,663,603,878,419,556,577,673,726,694,1368,872,944,905,1104,1306,2134,2922,3339,4439,5782,5234,4333,4388,5587,4888,4530,3627,2282,2834,1857,1981,1621,2013,1784,1757,2375,2125,2570,2144,1693,1323,924,1405,487,300,251,209,129,189,173,320,389,677,1151,1626,2273,2462,2813
DC,11,0,0,0,0,0,0,0,0,98,206,598,876,888,1033,1098,1305,940,924,751,552,440,275,232,231,354,393,523,488,448,506,375,391,313,255,409,313,258,445,416,372,560,625,923,1147,1347,1564,1771,1699,1368,1799,1948,2080,1540,1585,1215,919,757,925,795,1159,743,876,881,830,817,640,478,467,366,197,171,170,111,64,62,73,77,197,321,425,705,1098,1141,1214,1362
FL,12,0,0,0,0,0,0,7,62,699,3002,7773,6958,7039,5359,4624,4338,4819,5327,5302,7332,10797,20236,38783,57515,64381,82950,76825,65463,45814,42202,27887,21267,24807,17825,19110,17377,15826,14258,23483,23883,26212,34684,37740,56576,52983,64132,68896,76371,71305,90267,109746,95368,79722,73637,57739,50565,41953,39928,37188,32216,31274,34703,38166,41692,43448,41835,35077,27799,23046,18834,12631,12070,11454,10098,11051,15684,23801,45449,73166,110725,134751,151765,150736,151760,129206
GA,13,0,0,0,0,0,0,5,70,454,1632,3800,4902,5896,5055,5059,4231,3211,3984,5498,4743,5111,6020,10680,16825,18845,21663,22541,23315,22337,20912,17530,16146,13732,11022,11855,9788,8432,8990,10267,10454,10787,40616,18391,23220,19766,30147,37430,43111,44136,54436,61410,60180,52485,43364,31771,24810,20443,20951,17066,11444,11238,11065,9753,9304,10409,9316,8406,7842,5708,4522,3721,2603,3058,2461,2309,2442,3831,6385,11357,20942,30801,40045,52676,60859,61495
ID,16,0,0,0,0,0,0,0,2,41,198,798,378,261,236,176,144,214,177,209,337,214,654,1317,2049,3136,3800,3528,3284,3383,2980,2189,2010,1261,2243,2067,3053,3412,4006,4879,6115,5874,7700,9011,9526,8713,10043,10940,8563,6710,6416,7043,6044,4049,3366,2530,2277,1669,2003,1793,2308,2191,2011,1758,1973,1632,1422,1478,1137,1124,1160,945,788,728,495,688,488,661,1026,1370,2260,3607,3962,4886,4948,7648
IL,17,1,1,0,0,0,0,4,58,692,2739,6825,8821,9992,12460,16741,17735,16416,15274,11165,7999,5030,4372,5013,5532,6368,7696,9281,10602,12246,11893,13773,13070,16833,11761,12962,13445,13783,16389,23383,30355,40137,67626,84896,83240,66532,67224,61677,52660,39755,41415,48695,40628,33851,25418,20428,16255,12335,12643,11838,10610,12587,15178,18618,22647,22759,19427,18890,15379,11813,9594,6529,3872,2424,1450,1782,2177,2977,4457,7985,11694,16731,21323,24661,25628,30317
IN,18,0,0,0,0,0,0,1,15,114,1112,2726,3501,3365,3777,4284,4453,3571,3643,3337,2813,2568,2587,2551,2870,3676,4597,5881,5622,6187,6401,5654,7123,6542,5610,6229,5818,7522,9366,12566,14481,18914,26369,39167,44297,39825,46019,44517,38338,34150,31092,35470,28497,21472,16441,13035,9675,7046,6313,5582,5354,5284,5962,6921,7583,9589,6869,7621,7242,5930,4906,3742,3223,2552,2151,1464,2027,2348,3112,4293,6857,10034,15408,20416,26551,33775
IA,19,0,0,0,0,0,0,0,17,52,230,493,726,1008,2588,3482,3142,2675,2608,2004,2258,2208,1799,2596,2988,3604,3680,3618,3437,3262,3545,4289,7846,6096,4514,5622,6116,6406,6759,7656,8153,13656,20469,29260,25293,17872,16145,11621,12109,7666,8969,12193,8505,7786,6447,5177,4696,2967,4472,3253,3191,2962,3925,3666,3655,2974,3006,2531,2402,1735,1358,877,703,651,586,566,634,1695,653,1393,2159,3570,4865,5704,7113,8307
KS,20,0,0,0,0,0,0,0,9,50,213,438,589,554,1318,1757,1946,1114,1010,745,680,670,1083,1529,2303,2792,3013,3362,2604,2860,3776,3920,4202,4063,3002,3821,5641,4504,4796,5220,5596,8386,12600,17547,19379,18148,15870,16949,15173,9251,17588,14681,13766,10690,8067,6844,4573,4723,2796,2206,1834,1547,1478,1471,1356,1648,1473,1718,1472,1154,1303,848,729,857,784,886,1221,1886,2954,3821,5738,6633,8388,8224,9689,11357
KY,21,0,0,0,0,0,0,1,15,49,166,679,424,1425,1260,993,1615,1262,926,1158,1599,1173,1184,1566,1212,2751,3071,4593,3966,3883,4400,4166,4535,4928,3976,4722,4968,5979,7454,7366,8696,11745,12447,16350,19468,18288,23902,22598,20104,15064,18438,25907,23516,20275,17126,15149,10858,8975,7996,6185,5213,4873,4512,4565,3766,4423,3624,4182,4101,3573,3361,2734,2186,2392,2188,1215,1272,1662,3023,5224,8795,13373,17097,23199,28854,30546
LA,22,0,0,0,0,0,0,0,76,682,2560,9270,7500,3585,2935,2635,2282,2804,2777,2762,2904,3626,3974,5382,8550,13520,11796,15154,12546,12264,7968,4994,4984,5315,4838,4196,3741,3608,3606,3945,4335,3449,4544,8016,22021,13892,16629,17054,18285,14081,18807,26177,23460,15473,17049,12657,8831,3932,6434,4627,3612,3522,3523,2533,3531,3219,3744,3216,3335,3213,3147,3044,2479,2634,2131,2101,3071,5006,8398,16910,28829,32212,40866,35155,29871,17079
ME,23,0,0,0,0,0,0,0,1,68,141,236,169,235,119,189,255,239,372,265,251,233,185,218,247,128,133,157,148,99,121,181,173,147,200,208,228,229,218,230,229,528,934,1196,1333,1163,1840,2497,3111,2810,3705,3764,4203,3386,2564,1903,1355,949,1128,1143,1221,1436,1359,1817,2276,3191,2675,2006,2136,1775,1340,791,503,386,258,171,135,128,258,431,559,843,1220,1139,1722,2684
MD,24,0,0,0,0,0,0,3,17,176,804,2131,4571,4636,5464,6718,7107,6436,7545,6525,5545,3832,2719,2519,2905,3137,4739,5851,6323,5216,5141,3839,3774,4314,3926,4430,3230,3852,3987,4333,4360,5794,7635,11175,15882,14485,17936,19625,16745,16686,17731,20193,20667,15276,13419,9358,8052,5601,5535,5342,5974,6437,7699,8951,9587,9612,7493,5989,4351,2951,2415,1482,950,720,516,384,460,573,925,1612,2907,4568,5967,6895,7937,8315
MA,25,0,1,1,0,0,0,71,223,1710,4882,8280,12112,15207,14798,12393,9855,7511,5981,3492,2439,1684,1263,1236,1085,1378,1466,1534,1902,1917,1876,1972,2114,2086,2181,2468,2737,3954,3780,4297,6074,8454,10310,15346,16703,17171,27928,31800,31797,28601,31984,39644,35854,27926,23290,17879,13826,10848,10521,8996,9344,10888,12996,13977,12898,12046,9035,7612,5522,3791,2857,1710,1067,765,478,401,417,597,1233,2589,4037,5970,7360,8399,9250,10660
MI,26,0,0,0,0,0,0,0,35,590,4207,9582,9883,7046,6362,5853,3975,4399,3715,2549,2702,925,1780,2105,2919,3780,5014,4324,5774,4667,5278,4311,4830,5895,5756,5069,6294,6874,8149,11459,13944,21245,30986,45026,50685,48124,45570,36645,29458,18750,19216,23854,19257,15027,13181,10458,8189,7053,9084,10361,13676,20684,32290,44968,51358,53112,37950,28168,21610,14277,9993,5673,3003,2046,1187,1271,1364,1360,1695,2887,4730,7439,9978,11966,13998,16167
MN,27,0,0,0,0,0,0,1,20,116,309,423,563,789,1238,2509,4559,4183,4896,4282,3314,2718,2304,2561,2607,3940,3917,4763,4947,4920,4325,4491,5376,5627,3797,5120,6969,7144,8035,10260,11030,16268,26527,40938,46299,40963,41151,29976,19246,11886,11305,16583,10637,8755,7063,6413,5575,5364,5632,5338,7250,7884,9567,12444,14008,14253,12155,10844,9447,6673,4701,2799,1326,1219,846,659,645,642,1225,1868,3308,5094,7055,8712,10633,11225
MS,28,0,0,0,0,0,0,0,6,93,568,804,1197,1346,1762,1745,1968,1774,1914,2248,1858,2318,1299,4929,5153,4756,6591,9138,8863,6998,5128,5450,4853,4461,3149,3477,3600,3499,4471,5373,5090,5073,5730,7456,9063,7549,13519,14489,14164,12912,15254,16591,14001,12154,11167,6588,5566,3900,3864,3232,3258,2105,1767,1578,1342,1698,1340,1627,1356,1551,1565,1136,785,927,836,890,1352,1876,2748,6379,10325,14644,22998,25102,21391,19223
MO,29,0,0,0,0,0,0,1,6,99,780,1577,1714,1228,1348,1340,1286,979,967,1081,1288,1122,1691,2229,2793,3805,4716,7141,9292,5692,7893,7189,7457,9175,8754,10242,10067,8347,12662,11174,12152,15107,21815,32521,27196,24101,24709,23081,20686,16542,18398,20666,15579,11179,10145,7754,5379,3936,3682,2825,20142,4037,4373,3795,4170,3841,4188,4081,3701,2815,2770,2998,2752,3798,4250,5238,5773,9568,12633,15650,16292,18220,17565,15269,14848,14949
MT,30,0,0,0,0,0,0,0,4,23,103,138,116,51,19,10,5,10,11,26,37,50,111,158,319,511,797,794,832,813,781,729,885,914,767,1244,1748,2455,3772,4022,4924,5675,6071,7111,8060,6168,6016,5586,4087,2958,2640,4183,3012,2358,2375,1961,1587,1367,1201,834,1079,1285,1170,957,1112,959,964,943,909,764,659,659,478,504,409,367,346,373,431,593,1114,1516,1984,2455,3298,3876
NE,31,0,0,0,0,0,0,1,17,22,58,225,383,495,1536,2312,2669,2004,1755,1904,1671,1108,1065,1087,1077,1242,1498,1915,2011,1868,1992,1541,2034,2049,2307,2649,2738,3750,4422,5452,5860,7439,11511,14225,16012,12218,13179,8968,7685,5910,6892,7346,5312,5967,3790,2921,3224,1784,2016,1961,2035,2037,2209,3560,2448,2288,2300,1490,1343,968,587,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,0,0,0,0,0,0,2,18,131,383,1175,898,987,931,866,663,764,792,991,976,1513,1979,3370,5241,5265,7641,7344,7265,6345,5192,4467,3395,2643,2120,2205,2936,3353,3691,4254,5163,5949,7986,10271,12727,17510,16414,18375,17911,13795,12766,17438,13781,9623,7636,6042,4445,2837,2818,2472,3105,1886,1967,1998,2788,2538,2605,2598,2542,2559,1823,1401,1644,1756,1735,2739,3149,3309,5025,5947,7358,7173,7552,7574,7859,8036
NH,33,0,0,0,0,0,0,2,5,54,127,353,345,574,446,611,585,568,528,412,524,286,226,198,157,153,167,229,199,199,169,112,151,173,236,266,201,476,491,531,609,836,1121,1876,2724,2873,4066,5963,5270,4250,4858,5839,5072,5553,3797,2708,2469,2604,2018,1524,1655,1949,2400,2673,2943,2814,2314,1661,1443,1387,768,547,269,253,199,162,163,158,216,255,501,954,1152,1608,1947,2235
NJ,34,0,0,0,0,0,0,4,65,1120,7461,21543,27038,23445,24294,18093,14405,8031,8311,6568,4549,3092,2477,2338,2447,2274,2215,2654,3504,2689,3168,2564,2362,2780,2943,3328,4038,5369,6034,7102,10307,13210,18647,26404,31736,30680,38738,39104,35224,35548,34454,37834,42860,35514,35100,25410,26060,20683,22337,23010,24619,27905,29622,31307,26909,25656,20467,11645,8931,3292,3456,2184,1818,1433,2027,1638,1481,1698,2729,4644,6252,8698,11607,13185,13659,14265
NM,35,0,0,0,0,0,0,0,13,42,153,298,587,709,865,1073,1043,1013,748,934,798,774,669,1124,1413,1702,1947,2028,1734,1283,1185,876,1078,870,615,822,1175,1602,2394,3507,4601,5361,6890,9272,16069,14381,12728,11299,10276,8229,8100,9538,7813,5634,4899,3638,3041,2144,2198,1803,1395,1385,1333,1265,1219,1501,1356,1519,1607,1330,1209,836,659,563,613,573,429,534,882,1215,1894,3252,4758,5199,5669,5843
NY,36,0,0,0,0,0,0,76,457,9879,41990,69305,70558,52109,44418,29276,19628,14177,11910,9584,7593,5038,4498,4659,4793,4823,5503,4937,4582,4278,4125,4241,4213,5256,5016,5627,5918,8734,10090,9810,11525,14029,18457,31703,35759,45579,61520,69545,73550,76236,87616,107623,109575,94413,85364,61580,61057,53977,50601,51013,47685,44366,62788,56252,51880,43318,33760,25003,18044,13570,10643,6811,4323,3582,2598,2195,2425,3533,5841,9623,15228,22683,28384,31610,29808,34738
NC,37,0,0,0,0,0,0,2,30,255,818,1530,1900,1992,2404,3001,3073,3753,4569,5413,6985,8574,8714,9727,11043,12713,14002,13633,12953,11147,9829,10871,11488,10318,8250,9321,9510,9117,12882,13985,14587,16386,16660,17881,22759,26083,30183,41632,42544,41662,44479,55436,53860,45016,32889,45871,27298,21374,18525,13633,10598,12561,10254,10656,13307,14324,13243,12825,10726,8904,6452,5453,3589,3099,2525,2316,2203,3150,5458,9071,16151,23063,36197,37598,44311,48158
ND,38,0,0,0,0,0,0,0,1,27,66,115,101,276,284,324,297,407,446,238,283,219,207,205,322,519,681,854,778,938,988,1277,1822,1919,1950,2321,2696,2805,3690,4629,5975,7400,9229,9444,8980,6115,4555,3104,2095,1360,1552,1575,1331,949,806,681,661,678,529,583,596,668,943,1056,1104,1006,950,1002,771,619,490,333,264,231,135,103,74,124,154,229,439,663,980,1464,2031,2718
OH,39,0,0,0,0,0,0,0,26,221,1160,2353,2524,3984,4302,3785,4372,3796,3952,3636,3091,2762,3421,5202,6735,8036,9617,9369,8908,7889,7709,6523,7168,8479,6797,6998,6470,7963,9496,12776,15583,19891,30030,44516,53043,63417,60729,86029,60972,50240,50005,56304,50530,38335,32942,25299,19544,14797,13861,11592,10568,10528,11787,13412,13591,14501,11339,10588,8801,7465,6345,4950,2872,2428,1950,1823,1757,1761,2777,4810,7672,11641,16867,21010,29140,39705
OK,40,0,0,0,0,0,0,1,3,49,324,786,721,504,872,663,643,766,729,470,650,1025,1984,2614,3014,4140,5288,5032,7654,5396,4746,4830,4686,5923,5493,7133,7185,7267,7878,7905,9034,7097,8968,18453,20681,22830,19441,19915,22371,20572,19390,29016,26714,18511,16433,15293,10523,6055,5505,4753,3470,799,2663,2409,2170,3733,1875,1650,1598,1446,969,1008,902,705,997,1103,1505,1716,2680,4842,8062,11340,14055,15497,14730,19569
OR,41,0,0,0,0,0,1,5,30,103,343,423,476,476,413,384,526,462,284,305,388,815,1375,1350,1838,1931,2300,2348,2326,2199,2010,1696,1602,1566,1302,1451,1992,1934,2415,2396,2428,3185,4667,6431,7650,8838,10737,9604,8975,6514,8041,8128,7948,5190,4817,4328,3294,2678,2614,1765,2323,1921,2383,2779,3606,4417,5429,5667,5207,4376,3210,2650,1996,1873,1719,1422,1040,1194,1770,2874,4887,7144,11564,14514,15424,15473
PA,42,0,0,0,0,0,0,2,45,352,2448,7358,11846,9633,9789,9535,7467,6582,5515,4556,3770,3337,2798,3802,4543,5269,5623,6514,6274,5193,5824,4701,4448,5913,5318,5868,5757,7255,8564,9992,11970,15603,20271,32659,43551,49216,60513,69557,67409,55591,52115,56854,48527,37631,39213,26154,25720,19199,18448,17542,17541,20664,25451,30415,30238,35220,27633,23410,18405,13127,9981,6881,4352,3175,2026,1404,1227,1360,2329,3667,6245,10198,13089,17491,21831,25073
RI,44,0,0,0,0,0,0,3,19,48,96,436,1135,1687,2598,2219,372,2279,1659,624,0,1006,447,421,558,0,699,411,631,616,676,597,676,541,474,550,655,664,891,1162,1448,2263,2656,3423,5109,6199,5861,8226,7870,5897,4629,6199,7152,5524,4844,4096,2978,2515,2059,2251,2152,2487,2282,2063,2742,2786,2563,2080,1682,1220,0,1513,408,230,186,148,148,153,163,308,582,976,1437,1677,1910,1749
SC,45,0,0,0,0,0,0,2,20,155,492,1257,1299,1048,1023,1252,1062,1166,1249,1506,2150,4440,5810,8203,11448,11345,12917,12396,10610,8866,6477,5424,5972,7060,5770,7275,8037,5670,5741,6595,6146,7288,8138,9291,11013,9894,14324,19563,21740,18355,23826,37366,32338,31367,25996,23203,20159,18137,13795,9385,8093,7843,7731,7208,6508,6489,5968,5333,4446,4167,2537,2284,1170,961,820,782,1137,1686,2895,5034,10315,17163,22003,25346,32606,38113
SD,46,0,0,0,0,0,0,0,9,6,54,146,419,919,606,442,807,569,507,502,410,466,421,404,410,431,413,448,565,628,648,1019,1811,1959,1560,2013,2696,2860,3857,4653,5501,7521,7924,10035,7938,6869,6211,5106,3932,2631,2871,3076,2385,1698,1145,1076,1079,972,1137,1090,1125,1238,1383,1301,1351,1353,937,683,580,422,272,255,108,93,70,112,110,61,127,197,266,375,1154,1554,2486,3070
TN,47,0,0,0,0,0,0,1,31,278,916,2072,1790,1658,1969,2137,1941,2173,2568,2757,3123,3592,4520,5292,10050,10764,15044,15043,15073,12361,11116,10540,9286,9617,7732,11094,8869,8155,12603,13386,17290,14172,18533,25899,27782,25807,31902,46472,62546,44844,42506,41880,32444,22914,17865,16555,12924,7754,9506,7910,8365,8380,7546,7987,7467,10755,7180,6506,5420,4522,3368,2437,1871,1464,1310,1228,1746,2717,4335,8151,14635,21510,29125,39282,39828,46731
TX,48,0,0,0,0,0,0,8,53,487,1924,3961,4452,3905,4876,7005,8024,6758,6334,6537,16438,14212,24059,36786,44040,61293,59461,56448,53719,68245,75689,41653,35981,25089,25744,35603,32723,27631,22573,27551,37917,39503,42757,59388,79656,94918,97526,97531,123268,128705,158007,159816,157846,133381,120904,106986,76012,31208,56872,44530,32058,27795,26791,23012,24598,23844,23862,23988,17582,16085,12642,12339,9615,15276,9409,10563,10632,12671,20858,35765,62928,85718,99550,114623,113932,130221
UT,49,0,0,0,0,0,0,1,6,113,442,783,725,703,948,981,1031,857,1049,1008,1495,1608,2337,2771,3058,3418,3376,3360,2404,2395,2144,2074,2157,2323,2509,4851,5910,5707,6980,6960,7699,9034,12139,15975,16806,13635,14924,13585,12080,10674,12766,16079,13298,9220,7677,6139,5178,4029,3488,2636,2524,2377,2149,1971,1940,2010,1925,1998,1770,1531,1340,1038,1071,1311,1380,1627,1644,1955,2701,2616,4237,4296,4224,5123,5879,6444
VT,50,0,0,0,0,0,0,0,5,44,157,247,250,124,48,46,38,15,21,24,70,80,23,53,38,46,54,60,24,35,56,44,55,46,33,36,29,39,79,72,118,136,168,496,705,490,860,733,717,624,724,1101,1127,995,925,937,827,797,741,871,734,859,1065,1283,1060,904,610,553,408,400,238,118,57,70,42,33,27,41,92,127,213,432,720,883,910,1050
VA,51,0,0,0,0,0,0,0,40,122,599,1691,2682,2996,4327,5379,5477,6503,6084,7888,5803,4518,3588,3874,3902,4717,6614,7265,7225,8418,6595,6359,6781,6967,7231,6814,5789,5424,7120,7355,7201,8864,9715,9954,14906,17945,17570,27610,24393,26617,29208,34705,35727,39312,33668,23975,21357,14836,12706,10357,9342,10371,10284,9997,10604,10649,8649,7277,5672,3915,3007,2643,1663,1307,1163,1665,1530,1896,2263,3880,6202,10289,13181,16258,20575,23537
WA,53,0,0,0,0,0,6,95,501,1051,2394,2752,2822,1784,1941,1728,1723,1564,1034,2083,2469,2057,2846,3086,4129,4751,6273,5672,5526,4936,4376,3861,3386,3072,2750,2871,3884,3753,4231,4556,4948,5732,9393,13153,14502,19287,15730,24976,13775,14071,9941,25019,14525,14236,11404,8751,8013,5734,5958,4787,4862,5367,6254,7295,7901,9250,9643,9556,9325,8624,4939,8233,4295,4974,3064,3198,2091,2618,4943,7143,6850,15436,18794,21179,22483,24504
WV,54,0,0,0,0,0,0,0,0,12,88,188,303,218,238,180,149,152,209,346,159,153,236,292,435,951,761,889,979,851,901,734,806,1326,1259,1361,1278,1314,1446,1881,1916,2744,3149,5203,6811,6254,7730,8584,9067,8833,9163,9966,8567,6645,5603,3897,3114,2120,2238,1848,2007,2343,2841,2806,2657,2805,2594,2581,2521,2253,1541,1577,988,725,460,440,370,334,485,777,1321,2154,2843,5537,8761,10096
WI,55,0,0,0,0,0,0,0,28,255,774,975,1199,989,1496,1976,2281,2252,2696,3359,2355,1960,2031,2753,3776,4632,5813,6396,6139,5945,5139,4960,4799,5515,7315,13568,14086,17154,16765,18629,38931,32731,39634,46103,48397,32550,32920,28073,24698,15345,17634,24482,18193,13736,11016,9027,6643,5148,5113,4407,3790,3946,4703,4942,6320,6064,5160,5167,4656,3592,2886,1758,1195,966,660,607,630,759,1236,2267,5127,8050,9618,9745,12754,13883
WY,56,0,0,0,0,0,0,0,2,21,59,105,75,49,184,91,74,90,75,86,42,114,133,214,217,236,270,339,327,249,246,331,226,270,315,489,688,905,1093,1364,1990,2494,3208,5293,5559,4518,4025,2968,2583,1659,1460,2148,2241,1518,1147,933,527,611,669,419,405,425,468,407,432,394,441,449,485,459,591,484,485,494,380,474,496,523,558,728,876,1326,1822,2399,2796,3582
